Corresponding Year,Gender,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness,GPA
2,2,0.725,0.644444444,0.555555556,0.95,0.84,3.84
2,2,0.4,0.866666667,0.688888889,0.625,0.52,2.9
2,2,0.7,0.755555556,0.711111111,0.6,0.76,2.57
2,2,0.575,0.555555556,0.644444444,0.55,0.54,2.58
2,2,0.575,0.911111111,0.8,0.625,0.78,3.65
2,2,0.5,0.644444444,0.466666667,0.775,0.84,3.12
2,2,0.4,0.666666667,0.511111111,0.9,0.94,3.43
2,2,0.75,0.866666667,0.755555556,0.65,0.86,3.87
2,2,0.725,0.688888889,0.822222222,0.571428571,0.86,3.76
2,2,0.45,0.711111111,0.688888889,0.475,0.56,2.44
2,2,0.65,0.866666667,0.777777778,0.825,0.78,3.53
2,2,0.8,0.8,0.777777778,0.575,0.76,2.91
2,2,0.675,0.777777778,0.666666667,0.675,0.66,2.64
2,2,0.514285714,0.844444444,0.777777778,0.775,0.8,2.44
2,2,0.65,0.711111111,0.733333333,0.875,0.84,2.77
2,2,0.625,0.844444444,0.577777778,0.725,0.62,2.52
2,2,0.65,0.8,0.644444444,0.65,0.76,3.21
2,2,0.475,0.777777778,0.466666667,0.9,0.5,2.03
2,2,0.575,0.866666667,0.777777778,0.7,0.76,3.17
2,2,0.525,0.866666667,0.866666667,0.725,0.92,3.03
2,2,0.6,0.933333333,0.644444444,0.825,0.62,2.86
2,2,0.625,0.688888889,0.6,0.8,0.74,2.64
2,2,0.575,0.733333333,0.444444444,0.625,0.72,2.4
2,2,0.575,0.822222222,0.666666667,0.725,0.66,2.7
2,2,0.6,0.777777778,0.666666667,0.375,0.64,3.24
2,2,0.55,0.822222222,0.6,0.875,0.76,2.64
2,2,0.575,0.888888889,0.755555556,0.6,0.74,3.61
2,2,0.425,0.733333333,0.644444444,0.7,0.68,2.82
2,2,0.55,0.866666667,0.622222222,0.725,0.54,2.81
2,2,0.525,0.888888889,0.755555556,0.725,1,2.71
2,2,0.85,0.8,0.711111111,0.325,0.76,2.06
2,2,0.75,0.888888889,0.822222222,0.65,0.82,2.23
2,2,0.7,0.755555556,0.688888889,0.55,0.6,2.84
2,2,0.625,0.622222222,0.511111111,0.85,0.8,3.18
2,2,0.675,0.666666667,0.488888889,0.4,0.68,2.02
2,2,0.6,0.666666667,0.755555556,0.4,0.64,3.26
2,2,0.525,0.777777778,0.777777778,0.8,0.9,2.53
2,2,0.825,0.866666667,0.622222222,0.55,0.8,3.41
2,2,0.7,0.711111111,0.622222222,0.75,0.62,2.23
2,2,0.75,0.888888889,0.955555556,0.425,0.8,2.26
2,2,0.575,0.8,0.888888889,0.475,0.66,2.26
2,2,0.425,0.8,0.555555556,0.6,0.74,3.84
2,2,0.625,0.911111111,0.511111111,0.625,0.7,2.09
2,2,0.575,0.8,0.733333333,0.7,0.7,2.45
2,2,0.425,0.844444444,0.688888889,0.875,0.6,3.34
2,2,0.675,0.666666667,0.511111111,1,0.76,2.79
2,2,0.5,0.8,0.6,0.8,0.86,3.18
2,2,0.6,0.8,0.688888889,0.625,0.64,2.86
2,2,0.6,0.911111111,0.844444444,0.725,0.76,3.29
2,1,0.675,0.933333333,0.777777778,0.375,0.72,2.36
2,1,0.45,0.888888889,0.511111111,0.55,0.82,2.29
2,1,0.45,0.555555556,0.888888889,0.825,0.92,3.7
2,1,0.75,0.666666667,0.711111111,0.6,0.84,3.6
2,1,0.575,0.777777778,0.8,0.425,0.64,2.44
2,1,0.45,0.733333333,0.622222222,0.775,0.82,3.37
2,1,0.75,0.888888889,0.844444444,0.525,0.74,2.71
2,1,0.475,0.733333333,0.822222222,0.6,0.8,3.52
2,1,0.65,0.8,0.711111111,0.425,0.66,2.78
2,1,0.625,0.8,0.711111111,0.325,0.84,3.45
2,1,0.475,0.511111111,0.844444444,0.65,0.8,3.04
2,1,0.575,0.6,0.555555556,0.8,0.88,2.32
2,1,0.625,0.666666667,0.733333333,0.725,0.72,3.08
2,1,0.675,0.688888889,0.688888889,0.55,0.62,2.76
2,1,0.7,0.688888889,0.644444444,0.6,0.88,3.02
2,1,0.725,0.955555556,0.8,0.625,0.66,2.74
2,1,0.575,0.733333333,0.711111111,0.5,0.66,3.27
2,1,0.7,0.755555556,0.755555556,0.525,0.7,2.95
2,1,0.625,0.711111111,0.733333333,0.6,0.64,2.41
2,1,0.675,0.911111111,0.866666667,0.375,0.56,2.35
2,1,0.6,0.666666667,0.711111111,0.45,0.7,3.13
2,1,0.6,0.733333333,0.888888889,0.55,0.76,3.86
2,1,0.575,0.711111111,0.755555556,0.575,0.62,3.43
2,1,0.75,0.866666667,0.8,0.325,0.88,2.63
2,1,0.65,0.688888889,0.644444444,0.55,0.78,3.4
2,1,0.65,0.733333333,0.688888889,0.425,0.76,3.32
2,1,0.625,0.8,0.533333333,0.65,0.72,2.86
2,1,0.625,0.777777778,0.911111111,0.475,0.76,2.2
2,1,0.75,0.755555556,0.777777778,0.375,0.68,3.13
2,1,0.775,0.666666667,0.755555556,0.475,0.7,3.13
2,1,0.675,0.911111111,0.733333333,0.45,0.64,3.49
2,1,0.7,0.688888889,0.488888889,0.45,0.64,2.6
2,1,0.7,0.911111111,0.8,0.475,0.64,3.32
2,1,0.725,0.822222222,0.711111111,0.8,0.8,2.63
2,1,0.675,0.644444444,0.844444444,0.6,0.7,2.32
2,1,0.625,0.755555556,0.644444444,0.675,0.7,2.82
2,1,0.725,0.8,0.666666667,0.625,0.74,0.8
2,1,0.75,0.688888889,0.777777778,0.5,0.84,2.63
2,1,0.625,0.777777778,0.666666667,0.55,0.7,2.53
2,1,0.5,0.822222222,0.555555556,0.625,0.7,2.02
2,1,0.7,0.8,0.911111111,0.35,0.9,2.72
2,1,0.675,0.8,0.866666667,0.675,0.78,2.79
2,1,0.725,0.85,0.777777778,0.375,0.56,3.05
2,1,0.65,0.822222222,0.733333333,0.525,0.76,3.23
2,1,0.675,0.4,0.933333333,0.85,0.66,3.74
2,1,0.5,0.711111111,0.577777778,0.575,0.6,2.07
2,1,0.725,0.866666667,0.822222222,0.475,0.8,3.62
2,1,0.4,0.844444444,0.244444444,1,0.58,2.44
3,2,0.675,0.688888889,0.844444444,0.875,0.72,3.41
3,2,0.65,0.822222222,0.8,0.95,0.82,3.06
3,2,0.6,0.711111111,0.644444444,0.725,0.7,2.67
3,2,0.55,0.6,0.644444444,0.5,0.56,2.4
3,2,0.525,0.8,0.711111111,0.675,0.72,3.52
3,2,0.5,0.755555556,0.933333333,0.625,0.62,3.72
3,2,0.725,0.622222222,0.533333333,0.575,0.66,2.93
3,2,0.575,0.888888889,0.711111111,0.575,0.78,2.8
3,2,0.475,0.866666667,0.866666667,0.5,0.78,2.68
3,2,0.675,0.755555556,0.644444444,0.575,0.66,3.26
3,2,0.725,0.888888889,0.644444444,0.7,0.78,2.92
3,2,0.55,0.733333333,0.511111111,0.7,0.9,3.14
3,2,0.55,0.844444444,0.622222222,0.8,0.7,2.73
3,2,0.775,0.644444444,0.733333333,0.6,0.82,3.06
3,2,0.75,0.755555556,0.777777778,0.45,0.8,2.37
3,2,0.575,0.733333333,0.711111111,0.65,0.78,2.72
3,2,0.625,0.866666667,0.8,0.675,0.8,3.37
3,2,0.6,0.733333333,0.711111111,0.775,0.64,3.38
3,2,0.625,0.755555556,0.733333333,0.625,0.74,3.18
3,2,0.325,0.577777778,0.622222222,0.85,0.6,2.35
3,2,0.6,0.644444444,0.6,0.6,0.6,2.7
