"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT05537519","Phage Therapy for the Treatment of Urinary Tract Infection",,"Recruiting","No Results Available","Recurrent Urinary Tract Infection","Biological: Phage Therapy","Safety and Tolerability|Clinical and microbial response","Gregory German|Applied Health Research Centre|Unity Health Toronto","Female","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","1","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Phage Therapy 001","March 13, 2023","September 15, 2025","December 30, 2025","September 13, 2022",,"March 14, 2023","St. Joseph's Health Centre, Toronto, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT05537519"
2,"NCT04595136","Study to Evaluate the Efficacy of COVID19-0001-USR in Patients With Mild/or Moderate COVID-19 Infection in Outpatient","COVID-19","Recruiting","No Results Available","SARS-CoV-2 Infection","Drug: Drug COVID19-0001-USR|Drug: normal saline","Change on viral load results from baseline after using COVID19-0001-USR via nebulization","United Medical Specialties","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","60","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","COVID19-0001-USR","November 2, 2020","July 30, 2021","August 30, 2021","October 20, 2020",,"May 26, 2021","Cimedical, Barranquilla, Atlantico, Colombia",,"https://ClinicalTrials.gov/show/NCT04595136"
3,"NCT04722029","Pilot Study of Haploidentical Donor Adenovirus Specific T-lymphocytes to Treat Refractory Adenovirus Infections","ADV-VSTS","Recruiting","No Results Available","Adenovirus Infection","Biological: Adenovirus Specific T lymphocytes","Safety by measuring unacceptable toxicities|Efficacy by measuring viral load","Nationwide Children's Hospital","All","up to 60 Years   (Child, Adult)","Phase 1|Phase 2","12","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","STUDY00001291","October 1, 2021","October 1, 2023","October 1, 2024","January 25, 2021",,"September 2, 2022","Nationwide Children's Hospital, Columbus, Ohio, United States",,"https://ClinicalTrials.gov/show/NCT04722029"
4,"NCT04445454","Mesenchymal Stromal Cell Therapy for Severe Covid-19 Infection",,"Recruiting","No Results Available","Coronavirus Infection","Biological: Mesenchymal stromal cells","To evaluate the safety of intravenous infusion of MSC in patients with severe to critical COVID-19 pneumonia|To evaluate the efficacy of intravenous infusion of MSC in patients with severe to critical COVID-19 pneumonia|To evaluate the effect of MSC administration associated with the standard of care (SOC including anti-viral therapy)","University of Liege","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 1|Phase 2","20","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","TJT2012","June 12, 2020","September 30, 2024","September 30, 2024","June 24, 2020",,"September 21, 2022","CHU de Liège, Liège, Belgium",,"https://ClinicalTrials.gov/show/NCT04445454"
5,"NCT02116010","Evaluation of Phage Therapy for the Treatment of Escherichia Coli and Pseudomonas Aeruginosa Wound Infections in Burned Patients","PHAGOBURN","Unknown status","No Results Available","Wound Infection","Drug: E. coli Phages cocktail|Drug: Standard of care : Silver Sulfadiazine|Drug: P. Aeruginosa, Phages cocktail","Time for bacteria reduction adjusted on antibiotic treatment|Assessment of tolerance of treatment|Incidence an delay of infection reduction with different bacterial species from the targets|number of sites cured","Pherecydes Pharma","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2",,"Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","PHAGOBURN","July 2015","July 2016",,"April 16, 2014",,"July 24, 2015","Hopital Militaire Reine Astrid, Brussel, Belgium|CHU Sart-Tilman, Liege, Belgium|Hôpital d'instruction des armées Percy, Clamart, France|Centre hospitalier ST Joseph et St Luc, Lyon, France|Centre Hospitalier Universitaire Vaudois, Lausanne, Switzerland",,"https://ClinicalTrials.gov/show/NCT02116010"
6,"NCT02351180","Inhaled Beclomethasone After Community-Acquired Respiratory Viral Infection in Lung Transplant Recipients",,"Completed","Has Results","Lung Transplant Infection","Drug: Inhaled beclomethasone|Drug: Placebo","Number of Participants Free From New or Progressive Chronic Lung Allograft Dysfunction|Death|Acute Rejection|Lymphocytic Bronchiolitis|Donor-specific Antibodies|Chronic Lung Allograft Dysfunction","Washington University School of Medicine","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","16","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Prevention","WUIBCARV1-201404080","February 1, 2017","January 31, 2021","January 31, 2021","January 30, 2015","March 3, 2022","March 3, 2022","Washington University School of Medicine, Saint Louis, Missouri, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/80/NCT02351180/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT02351180"
7,"NCT04225780","Treatment of Low Dose IL-2 and Ganciclovir in Cytomegalovirus Infection",,"Unknown status","No Results Available","Cytomegalovirus Infections","Drug: Low-dose IL-2 and ganciclovir","Change from baseline of NK cells cytotoxicity after treatment|The total dose for anti-viral drugs.|The change of cytokine after low-dose IL-2 treatment.|The change of NK cell subsets.|The change of level of CMV immunoglobulin M (IgM)|The change of level of CMV immunoglobulin G (IgG)|The day for CMV infection patients convert into negative.","Peking University People's Hospital","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 1|Phase 2","10","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","TLDIGCI","February 1, 2020","December 31, 2020","March 30, 2021","January 13, 2020",,"January 13, 2020",,,"https://ClinicalTrials.gov/show/NCT04225780"
8,"NCT02985775","Preemptive Therapy With CMV-specific T Cells Infusion to Prevent Refractory CMV Infection Post Transplantation",,"Completed","No Results Available","CMV Infection","Biological: Donor-derived CMVpp65-specific T cells","Virologic efficacy of CMVpp65-specific T cells for prophylaxis against refractory CMV infection after haploidentical stem cell transplantation|Number of participants with treatment-related adverse events as assessed by CTCAE v4.0 after adoptive transfer of CMV-specific T-cells|Using Flow cytometry to evaluate the CMV-specific T cells reconstitution before and after CMV-CTL adoptive infusion post transplantation|Reduction complications associated with CMV infection|Reduction relapse rate of the primary disease|Increase overall survival|Increase disease-free survival","Peking University People's Hospital","All","15 Years to 65 Years   (Child, Adult, Older Adult)","Phase 1|Phase 2","41","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","2016PHB153","January 2017","March 2018","March 2019","December 7, 2016",,"March 10, 2020","Peking University People's Hospital & Peking University Institute of Hematology, Beijing Key Laboratory of Hematopoietic Stem Cell Transplantation, Beijing, Beijing, China",,"https://ClinicalTrials.gov/show/NCT02985775"
9,"NCT04287478","Bacteriophage Therapy in Patients With Urinary Tract Infections",,"Terminated","No Results Available","Urinary Tract Infection Bacterial","Biological: Bacteriophage Therapy","Identify ideal bacteriophage treatment regimens based on improvements in disease control rates|Assess the safety of bacteriophage therapy|Assess the tolerability of bacteriophage therapy","Adaptive Phage Therapeutics, Inc.|United States Department of Defense","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","1","Industry|U.S. Fed","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","APT.UTI.001","December 9, 2020","February 28, 2023","February 28, 2023","February 27, 2020",,"March 3, 2023","Universal Axon Clinical Research, Doral, Florida, United States|AMPM Research Clinic, Miami Gardens, Florida, United States|AdMed Research, Miami, Florida, United States|Innovation Medical Research Center, Inc, Palmetto Bay, Florida, United States|Henry Ford Hospital, Detroit, Michigan, United States|James J. Peters VA Medical Center, Bronx, New York, United States|University of Texas Southwestern Medical Center, Dallas, Texas, United States|DHR Health Institute for Research and Development, Edinburg, Texas, United States",,"https://ClinicalTrials.gov/show/NCT04287478"
10,"NCT03196921","Efficacy and Safety of Oral Encochleated Amphotericin B for the Treatment of Cryptococcal Infection","ORACLE","Withdrawn","No Results Available","Cryptococcal Infections","Drug: Encochleated Amphotericin B","Tolerability of drug over 14 days of dosing|Microbiologic clearance of Cryptococcus from the CSF|Incidence of adverse events|Survival from cryptococcal infection|Pharmacokinetics","Matinas BioPharma Nanotechnologies, Inc.|University of Minnesota","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","0","Industry|Other","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MB-70009","October 1, 2018","October 1, 2019","March 1, 2020","June 23, 2017",,"March 8, 2019",,,"https://ClinicalTrials.gov/show/NCT03196921"
